1-1: [0, 0, 208, 7, 2, 1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1-2: [0, 0, 50, 0, 1, 1, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1-3: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1-4: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]

2-1: [0, 0, 208, 7, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2-2: [0, 0, 65, 0, 1, 10, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2-3: [1, 0, 80, 0, 1, 2, 8, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2-4: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]

3-1: [0, 0, 208, 7, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
3-2: [1, 0, 70, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
3-3: [1, 0, 55, 0, 0, 5, 10, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
3-4: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]

4-1: [2, 0, 80, 0, 0, 10, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
4-2: [0, 0, 208, 7, 1, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
4-3: [0, 0, 80, 0, 0, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 0, 0, 0, 0, 0]
4-4: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]

5-1: [0, 0, 208, 7, 3, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
5-2: [1, 0, 100, 0, 0, 2, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
5-3: [0, 0, 91, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
5-4: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]

6-1: [2, 0, 90, 0, 1, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
6-2: [0, 0, 90, 0, 2, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
6-3: [1, 0, 95, 0, 0, 3, 3, 3, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]
6-4: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]

7-1: [1, 0, 129, 0, 0, 5, 0, 5, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
7-2: [1, 0, 91, 0, 2, 2, 15, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
7-3: [2, 0, 141, 0, 0, 5, 0, 5, 10, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]
7-4: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]

8-1: [0, 0, 91, 0, 0, 3, 10, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
8-2: [1, 0, 91, 0, 2, 2, 2, 10, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
8-3: [2, 0, 205, 0, 0, 5, 10, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
8-4: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]

9-1: [1, 0, 185, 0, 0, 10, 0, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
9-2: [1, 0, 90, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
9-3: [2, 0, 161, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
9-4: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]

10-1: [0, 0, 120, 0, 1, 1, 1, 10, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
10-2: [1, 0, 105, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
10-3: [2, 0, 110, 0, 2, 2, 10, 10, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
10-4: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]

11-1: [1, 0, 125, 0, 0, 15, 0, 10, 10, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
11-2: [0, 0, 130, 0, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
11-3: [1, 0, 130, 0, 0, 2, 2, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
